,edit_count,sentiment,neg_sentiment
2014-08-07,0.36666666666666664,0.0014201748938787561,0.08095238095238096
2014-08-08,0.36666666666666664,0.0014201748938787561,0.08095238095238096
2014-08-09,0.36666666666666664,0.0014201748938787561,0.08095238095238096
2014-08-10,0.4666666666666667,0.02635754034632728,0.08095238095238096
2014-08-11,0.6,0.04009024337643669,0.08928571428571429
2014-08-12,0.7,0.026221944580948547,0.11150793650793651
2014-08-13,0.7,0.026221944580948547,0.11150793650793651
2014-08-14,0.7666666666666667,-0.006538756995920147,0.14484126984126983
2014-08-15,0.7666666666666667,-0.006538756995920147,0.14484126984126983
2014-08-16,0.7666666666666667,-0.006538756995920147,0.14484126984126983
2014-08-17,0.7666666666666667,-0.006538756995920147,0.14484126984126983
2014-08-18,0.7666666666666667,-0.006538756995920147,0.14484126984126983
